Q7030710,Category:加拿大政治人物
Q7030803,Category:刚果共和国政治人物
Q7030834,Category:克罗地亚政治人物
Q7031016,Category:巴拿馬政治人物
Q7031096,Category:法國政治人物
Q7031128,Category:朝鮮半島政治人物
Q7038975,Category:日本政治人物
Q7039037,Category:黎巴嫩政治人物
Q7039302,Category:巴西女性政治人物
Q7039325,Category:緬甸女性政治人物
Q7039382,Category:俄羅斯女性政治人物
Q7039440,Category:法國女性政治人物
Q7039531,Category:墨西哥女性政治人物
Q7040111,Category:非洲政治人物
Q7040161,Category:自杀的德国政治人物
Q7040268,Category:自杀的美国政治人物
Q7040630,Category:賓夕法尼亞州政治人物
Q7040721,Category:德克薩斯州政治人物
Q7040766,Category:田納西州政治人物
Q7040904,Category:北達科他州政治人物
Q7041116,Category:自杀的中国政治人物
Q7041371,Category:維吉尼亞州政治人物
Q7041467,Category:北卡羅來納州政治人物
Q7041759,Category:馬利政治人物
Q7041800,Category:密西西比州政治人物
Q7041922,Category:自殺政治人物
Q7042004,Category:內布拉斯加州政治人物
Q7042210,Category:華盛頓州政治人物
Q7042250,Category:遇刺身亡的日本政治人物
Q7042267,Category:自杀的日本政治人物
Q7068359,Category:圭亚那政治人物
Q7068441,Category:尼加拉瓜政治人物
Q7068515,Category:北马其顿政治人物
Q7068561,Category:马尔代夫政治人物
Q7068600,Category:孟加拉国政治人物
Q7068623,Category:波斯尼亚和黑塞哥维那政治人物
Q7068630,Category:玻利維亞政治人物
Q7068753,Category:安哥拉政治人物
Q7068841,Category:赞比亚政治人物
Q7068870,Category:津巴布韋政治人物
Q7068889,Category:佛得角政治人物
Q7068922,Category:哥伦比亚政治人物
Q7068962,Category:土耳其政治人物
Q7077855,Category:紐西蘭政治人物
Q7077884,Category:马达加斯加政治人物
Q7077892,Category:摩納哥政治人物
Q7077945,Category:巴西政治人物
Q7077969,Category:圣基茨和尼维斯政治人物
Q7077979,Category:瑞典政治人物
Q7078031,Category:爱沙尼亚政治人物
Q7078045,Category:烏茲別克斯坦政治人物
Q7078089,Category:中華人民共和國政治人物
Q7078132,Category:哥斯大黎加政治人物
Q7078173,Category:特立尼达和多巴哥政治人物
Q60940812,Category:哈巴罗夫斯克边疆区政治人物
Q7090188,Category:南蘇丹政治人物
Q7090227,Category:多米尼克政治人物
Q7090285,Category:白俄羅斯政治人物
Q7090394,Category:吉尔吉斯斯坦政治人物
Q7090428,Category:斐济政治人物
Q61001629,Category:潮州政治人物
Q61010732,Category:西藏自治区政治人物
Q61010925,Category:西秦政治人物
Q61010938,Category:南燕政治人物
Q61010950,Category:成汉政治人物
Q61010964,Category:北燕政治人物
Q61015961,Category:中华人民共和国陕西省政治人物
Q61015968,Category:陕西政治人物列表
Q61016002,Category:新疆维吾尔自治区政治人物
Q61017442,Category:森美兰州政治人物
Q61017508,Category:臺灣身心障礙政治人物
Q61018272,Category:韩国政治人物列表
Q61018445,Category:中华民国维吾尔族政治人物
